"Bin","BinRA","TopTaxonID","TopTaxonRAinBin","TopTaxon.Kingdom","TopTaxon.Phylum","TopTaxon.Class","TopTaxon.Order","TopTaxon.Family","TopTaxon.Genus","Kingdom.maxNamed","Kingdom.maxNamed.Percent","Phylum.maxNamed","Phylum.maxNamed.Percent","Class.maxNamed","Class.maxNamed.Percent","Order.maxNamed","Order.maxNamed.Percent","Family.maxNamed","Family.maxNamed.Percent","Genus.maxNamed","Genus.maxNamed.Percent"
"Bin117",0.00192270654213804,"4b8ac83b7707e3033c2fb284146fbd229067e2e9",0.431971081713423,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Desertifilaceae","Roseofilum_AO1-A","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Desertifilaceae",1,"Roseofilum_AO1-A",0.431971081713423
"Bin118",0.00154905517859261,"554d1429bca308e24e7d4c2548e298d067481483",0.995396715797233,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Coleofasciculaceae","Moorea","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Coleofasciculaceae",1,"Moorea",0.995396715797233
"Bin119",0.00267127888357505,"5f67659471c9f7a5cd71606f612cbc82cc268a0a",0.93129264966299,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Arthrospira_PCC-7345","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Phormidiaceae",1,"Arthrospira_PCC-7345",0.93129264966299
"Bin120",0.0010526377440742,"4d6afb7316b78a95350125cd3c3649bc3c47c30d",0.954942279727166,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Phormidiaceae","Trichodesmium_IMS101","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Phormidiaceae",0.954942279727166,"Trichodesmium_IMS101",0.954942279727166
"Bin121",0.000168097616591255,"d70ce921d45ccb699a60658a2ee7ef542e01c24e",0.888359674529582,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Geitlerinemaceae","Geitlerinema_PCC-7105","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Geitlerinemaceae",1,"Geitlerinema_PCC-7105",0.888359674529582
"Bin122",0.000172190453617804,"f3b03bc13b72751f9678523b1e03fc66b88e03aa",0.978796819437324,"Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Oscillatoriaceae","Phormidium_ETS-05","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Cyanobacteriales",1,"Oscillatoriaceae",1,"Phormidium_ETS-05",0.978796819437324
"Bin123",0.00491402439273112,"5c50e85e40d3c5a1e8fbb2371f2f7e6c82940d1e",0.435646784503588,"Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales_Incertae_Sedis","Schizothrix_LEGE_07164","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Synechococcales",0.57023385301348,"Synechococcales_Incertae_Sedis",0.435646784503588,"Schizothrix_LEGE_07164",0.435646784503588
"Bin124",0.000376806224957413,"04e6df5b3737115b23a0ebf2736b7cae559889a7",0.995222152664764,"Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae","Uncultured_Nodosilineaceae","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Phormidesmiales",1,"Nodosilineaceae",1,"Uncultured_Nodosilineaceae",0.995222152664764
"Bin125",0.0222543977738328,"e9040021e8513b709cdfba273d1fa698d159dbc9",0.99944625295743,"Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium_PCC-7375","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Phormidesmiales",1,"Phormidesmiaceae",1,"Acrophormium_PCC-7375",0.99944625295743
"Bin126",0.011146719795268,"8a5ea7a10c2e017fea5e571338c97705adb9c6cc",0.567800142566296,"Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Phormidium_MBIC10003","Bacteria",1,"Cyanobacteria",1,"Cyanobacteriia",1,"Phormidesmiales",0.999761781395881,"Phormidesmiaceae",0.702908433864032,"Phormidium_MBIC10003",0.567800142566296
"Bin127",0.00928507172955489,"5247504429913b6b87d298a51d9c45547cf2d4f4",0.996733064586773,"Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","Bacteria",1,"Bdellovibrionota",0.996733064586773,"Bdellovibrionia",0.996733064586773,"Bdellovibrionales",0.996733064586773,"Bdellovibrionaceae",0.996733064586773,"OM27_clade",0.996733064586773
"Bin128",7.48829473244228e-06,"223c12868bbc2962094d0d7b080a4864eccf6a79",0.495085859752072,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Uncultured_Peptococcaceae","Bacteria",1,"Firmicutes",1,"Clostridia",0.495085859752072,"Peptococcales",0.495085859752072,"Peptococcaceae",0.495085859752072,"Uncultured_Peptococcaceae",0.495085859752072
